star,year,award
 Stockard Channing ,1994,Oscar
 Emma Thompson ,1994,Oscar
 Debra Winger ,1994,Oscar
 Anna Paquin ,1994,Oscar
 Holly Hunter ,1994,Oscar
 Rosie Perez ,1994,Oscar
 Winona Ryder ,1994,Oscar
 Emma Thompson ,1994,Oscar
 Tom Hanks ,1995,Oscar
 Morgan Freeman ,1995,Oscar
 Nigel Hawthorne ,1995,Oscar
 Paul Newman ,1995,Oscar
 John Travolta ,1995,Oscar
 Martin Landau ,1995,Oscar
 Samuel L. Jackson ,1995,Oscar
 Chazz Palminteri ,1995,Oscar
 Paul Scofield ,1995,Oscar
 Gary Sinise ,1995,Oscar
 Jessica Lange ,1995,Oscar
 Jodie Foster ,1995,Oscar
 Miranda Richardson ,1995,Oscar
 Winona Ryder ,1995,Oscar
 Susan Sarandon ,1995,Oscar
 Dianne Wiest ,1995,Oscar
 Rosemary Harris ,1995,Oscar
 Helen Mirren ,1995,Oscar
 Uma Thurman ,1995,Oscar
 Jennifer Tilly ,1995,Oscar
 Nicolas Cage ,1996,Oscar
 Richard Dreyfuss ,1996,Oscar
 Anthony Hopkins ,1996,Oscar
 Sean Penn ,1996,Oscar
 Massimo Troisi ,1996,Oscar
 Kevin Spacey ,1996,Oscar
 James Cromwell ,1996,Oscar
 Ed Harris ,1996,Oscar
 Brad Pitt ,1996,Oscar
 Tim Roth ,1996,Oscar
 Susan Sarandon ,1996,Oscar
 Elisabeth Shue ,1996,Oscar
 Sharon Stone ,1996,Oscar
 Meryl Streep ,1996,Oscar
 Emma Thompson ,1996,Oscar
 Mira Sorvino ,1996,Oscar
 Joan Allen ,1996,Oscar
 Kathleen Quinlan ,1996,Oscar
 Mare Winningham ,1996,Oscar
 Kate Winslet ,1996,Oscar
 Geoffrey Rush ,1997,Oscar
 Tom Cruise ,1997,Oscar
 Ralph Fiennes ,1997,Oscar
 Woody Harrelson ,1997,Oscar
 Billy Bob Thornton ,1997,Oscar
" Cuba Gooding, Jr. ",1997,Oscar
 William H. Macy ,1997,Oscar
 Armin Mueller-Stahl ,1997,Oscar
 Edward Norton ,1997,Oscar
 James Woods ,1997,Oscar
 Frances McDormand ,1997,Oscar
 Brenda Blethyn ,1997,Oscar
 Diane Keaton ,1997,Oscar
 Kristin Scott Thomas ,1997,Oscar
 Emily Watson ,1997,Oscar
 Juliette Binoche ,1997,Oscar
 Joan Allen ,1997,Oscar
 Lauren Bacall ,1997,Oscar
 Barbara Hershey ,1997,Oscar
 Marianne Jean-Baptiste ,1997,Oscar
 Jack Nicholson ,1998,Oscar
 Matt Damon ,1998,Oscar
 Robert Duvall ,1998,Oscar
 Peter Fonda ,1998,Oscar
 Dustin Hoffman ,1998,Oscar
 Robin Williams ,1998,Oscar
 Robert Forster ,1998,Oscar
 Anthony Hopkins ,1998,Oscar
 Greg Kinnear ,1998,Oscar
 Burt Reynolds ,1998,Oscar
 Helen Hunt ,1998,Oscar
 Helena Bonham Carter ,1998,Oscar
 Julie Christie ,1998,Oscar
 Judi Dench ,1998,Oscar
 Kate Winslet ,1998,Oscar
 Kim Basinger ,1998,Oscar
 Joan Cusack ,1998,Oscar
 Minnie Driver ,1998,Oscar
 Julianne Moore ,1998,Oscar
 Gloria Stuart ,1998,Oscar
 Roberto Benigni ,1999,Oscar
 Tom Hanks ,1999,Oscar
 Ian McKellen ,1999,Oscar
 Nick Nolte ,1999,Oscar
 Edward Norton ,1999,Oscar
 James Coburn ,1999,Oscar
 Robert Duvall ,1999,Oscar
 Ed Harris ,1999,Oscar
 Geoffrey Rush ,1999,Oscar
 Billy Bob Thornton ,1999,Oscar
 Gwyneth Paltrow ,1999,Oscar
 Cate Blanchett ,1999,Oscar
 Fernanda Montenegro ,1999,Oscar
 Meryl Streep ,1999,Oscar
 Emily Watson ,1999,Oscar
 Judi Dench ,1999,Oscar
 Kathy Bates ,1999,Oscar
 Brenda Blethyn ,1999,Oscar
 Rachel Griffiths ,1999,Oscar
 Lynn Redgrave ,1999,Oscar
 Kevin Spacey ,2000,Oscar
 Russell Crowe ,2000,Oscar
 Richard Farnsworth ,2000,Oscar
 Sean Penn ,2000,Oscar
 Denzel Washington ,2000,Oscar
 Michael Caine ,2000,Oscar
 Tom Cruise ,2000,Oscar
 Michael Clarke Duncan ,2000,Oscar
 Jude Law ,2000,Oscar
 Haley Joel Osment ,2000,Oscar
 Hilary Swank ,2000,Oscar
 Annette Bening ,2000,Oscar
 Janet McTeer ,2000,Oscar
 Julianne Moore ,2000,Oscar
 Meryl Streep ,2000,Oscar
 Angelina Jolie ,2000,Oscar
 Toni Collette ,2000,Oscar
 Catherine Keener ,2000,Oscar
 Samantha Morton ,2000,Oscar
 Chloë Sevigny ,2000,Oscar
 Russell Crowe ,2001,Oscar
 Javier Bardem ,2001,Oscar
 Tom Hanks ,2001,Oscar
 Ed Harris ,2001,Oscar
 Geoffrey Rush ,2001,Oscar
 Benicio Del Toro ,2001,Oscar
 Jeff Bridges ,2001,Oscar
 Willem Dafoe ,2001,Oscar
 Albert Finney ,2001,Oscar
 Joaquin Phoenix ,2001,Oscar
 Julia Roberts ,2001,Oscar
 Joan Allen ,2001,Oscar
 Juliette Binoche ,2001,Oscar
 Ellen Burstyn ,2001,Oscar
 Laura Linney ,2001,Oscar
 Marcia Gay Harden ,2001,Oscar
 Judi Dench ,2001,Oscar
 Kate Hudson ,2001,Oscar
 Frances McDormand ,2001,Oscar
 Julie Walters ,2001,Oscar
 Denzel Washington ,2002,Oscar
 Russell Crowe ,2002,Oscar
 Sean Penn ,2002,Oscar
 Will Smith ,2002,Oscar
 Tom Wilkinson ,2002,Oscar
 Jim Broadbent ,2002,Oscar
 Ethan Hawke ,2002,Oscar
 Ben Kingsley ,2002,Oscar
 Ian McKellen ,2002,Oscar
 Jon Voight ,2002,Oscar
 Halle Berry ,2002,Oscar
 Judi Dench ,2002,Oscar
 Nicole Kidman ,2002,Oscar
 Sissy Spacek ,2002,Oscar
 Renée Zellweger ,2002,Oscar
 Jennifer Connelly ,2002,Oscar
 Helen Mirren ,2002,Oscar
 Maggie Smith ,2002,Oscar
 Marisa Tomei ,2002,Oscar
 Kate Winslet ,2002,Oscar
 Adrien Brody ,2003,Oscar
 Nicolas Cage ,2003,Oscar
 Michael Caine ,2003,Oscar
 Daniel Day-Lewis ,2003,Oscar
 Jack Nicholson ,2003,Oscar
 Chris Cooper ,2003,Oscar
 Ed Harris ,2003,Oscar
 Paul Newman ,2003,Oscar
 John C. Reilly ,2003,Oscar
 Christopher Walken ,2003,Oscar
 Nicole Kidman ,2003,Oscar
 Salma Hayek ,2003,Oscar
 Diane Lane ,2003,Oscar
 Julianne Moore ,2003,Oscar
 Renée Zellweger ,2003,Oscar
 Catherine Zeta-Jones ,2003,Oscar
 Kathy Bates ,2003,Oscar
 Julianne Moore ,2003,Oscar
 Queen Latifah ,2003,Oscar
 Meryl Streep ,2003,Oscar
 Sean Penn ,2004,Oscar
 Johnny Depp ,2004,Oscar
 Ben Kingsley ,2004,Oscar
 Jude Law ,2004,Oscar
 Bill Murray ,2004,Oscar
 Tim Robbins ,2004,Oscar
 Alec Baldwin ,2004,Oscar
 Benicio Del Toro ,2004,Oscar
 Djimon Hounsou ,2004,Oscar
 Ken Watanabe ,2004,Oscar
 Charlize Theron ,2004,Oscar
 Keisha Castle-Hughes ,2004,Oscar
 Diane Keaton ,2004,Oscar
 Samantha Morton ,2004,Oscar
 Naomi Watts ,2004,Oscar
 Renée Zellweger ,2004,Oscar
 Shohreh Aghdashloo ,2004,Oscar
 Patricia Clarkson ,2004,Oscar
 Marcia Gay Harden ,2004,Oscar
 Holly Hunter ,2004,Oscar
 Jamie Foxx ,2005,Oscar
 Don Cheadle ,2005,Oscar
 Johnny Depp ,2005,Oscar
 Leonardo DiCaprio ,2005,Oscar
 Clint Eastwood ,2005,Oscar
 Morgan Freeman ,2005,Oscar
 Alan Alda ,2005,Oscar
 Thomas Haden Church ,2005,Oscar
 Jamie Foxx ,2005,Oscar
 Clive Owen ,2005,Oscar
 Hilary Swank ,2005,Oscar
 Annette Bening ,2005,Oscar
 Catalina Sandino Moreno ,2005,Oscar
 Imelda Staunton ,2005,Oscar
 Kate Winslet ,2005,Oscar
 Cate Blanchett ,2005,Oscar
 Laura Linney ,2005,Oscar
 Virginia Madsen ,2005,Oscar
 Sophie Okonedo ,2005,Oscar
 Natalie Portman ,2005,Oscar
 Philip Seymour Hoffman ,2006,Oscar
 Terrence Howard ,2006,Oscar
 Heath Ledger ,2006,Oscar
 Joaquin Phoenix ,2006,Oscar
 David Strathairn ,2006,Oscar
 George Clooney ,2006,Oscar
 Matt Dillon ,2006,Oscar
 Paul Giamatti ,2006,Oscar
 Jake Gyllenhaal ,2006,Oscar
 William Hurt ,2006,Oscar
 Reese Witherspoon ,2006,Oscar
 Judi Dench ,2006,Oscar
 Felicity Huffman ,2006,Oscar
 Keira Knightley ,2006,Oscar
 Charlize Theron ,2006,Oscar
 Rachel Weisz ,2006,Oscar
 Amy Adams ,2006,Oscar
 Catherine Keener ,2006,Oscar
 Frances McDormand ,2006,Oscar
 Michelle Williams ,2006,Oscar
 Forest Whitaker ,2007,Oscar
 Leonardo DiCaprio ,2007,Oscar
 Ryan Gosling ,2007,Oscar
 Peter O'Toole ,2007,Oscar
 Will Smith ,2007,Oscar
 Alan Arkin ,2007,Oscar
 Jackie Earle Haley ,2007,Oscar
 Djimon Hounsou ,2007,Oscar
 Eddie Murphy ,2007,Oscar
 Mark Wahlberg ,2007,Oscar
 Helen Mirren ,2007,Oscar
 Penélope Cruz ,2007,Oscar
 Judi Dench ,2007,Oscar
 Meryl Streep ,2007,Oscar
 Kate Winslet ,2007,Oscar
 Jennifer Hudson ,2007,Oscar
 Adriana Barraza ,2007,Oscar
 Cate Blanchett ,2007,Oscar
 Abigail Breslin ,2007,Oscar
 Rinko Kikuchi ,2007,Oscar
